Name,Paraffinic CH3,Paraffinic CH2,Paraffinic CH,Olefinic -CH=CH2,Naphthenic CH-CH2,Aromatic C-CH,Alcoholic OH,Ether O,Aldehydic CHO,Ketonic CO,Ester COO,MW,BI,FP,Predicted FP
3-methyl-2-butanol,51.13636364,0,29.54545455,0,0,0,19.31818182,0,0,0,0,88,0.5,311,295.88
cyclohexanol,0,0,0,0,83,0,17,0,0,0,0,100,0.5,341,342.37
1-hexanol,14.70588235,68.62745098,0,0,0,0,16.66666667,0,0,0,0,102,0,336,325.74
2-hexanol,29.41176471,41.17647059,12.74509804,0,0,0,16.66666667,0,0,0,0,102,0.166666667,314,321.31
3-hexanol,29.41176471,41.17647059,12.74509804,0,0,0,16.66666667,0,0,0,0,102,0.25,314,321.31
2-methyl-2-pentanol,44.11764706,27.45098039,0,0,0,0,16.66666667,0,0,0,0,102,0.4,314,311.01
3-methyl-2-pentanol,44.11764706,13.7254902,25.49019608,0,0,0,16.66666667,0,0,0,0,102,0.5,313,312.70
4-methyl-2-pentanol,44.11764706,13.7254902,25.49019608,0,0,0,16.66666667,0,0,0,0,102,0.4,314,312.87
2-ethyl-1-butanol,29.41176471,41.17647059,12.74509804,0,0,0,16.66666667,0,0,0,0,102,0.5,330,321.35
"2,5-Hexanediol",25.42372881,23.72881356,22.03389831,0,0,0,28.81355932,0,0,0,0,118,0.333333333,383,377.56
"2-Methyl-2,4-pentanediol",38.13559322,11.86440678,11.01694915,0,0,0,28.81355932,0,0,0,0,118,0.6,375,355.94
Benzyl alcohol ,0,12.96296296,0,0,0,71.2962963,15.74074074,0,0,0,0,108,1,366,362.42
cis-2-Methylcyclohexanol,13.15789474,0,0,0,71.92982456,0,14.9122807,0,0,0,0,114,0.5,338,342.09
cis-3-Methylcyclohexanol,13.15789474,0,0,0,71.92982456,0,14.9122807,0,0,0,0,114,0.666666667,343,342.02
